Day-Date,PartyID,PartySht,Party,Party Votes,Party Seats,Total Seats,Party Votes %,Candidate Seats
23rd 22:19,14 , IP , Internet Party , 443 , 0 , 0 , 0.0 , 0
23rd 22:20,6 , NAT , National Party , 917527 , 18 , 58 , 46.2 , 40
23rd 22:20,5 , LAB , Labour Party , 708101 , 16 , 45 , 35.7 , 29
23rd 22:20,7 , NZF , New Zealand First Party , 147861 , 8 , 9 , 7.5 , 1
23rd 22:20,4 , GP , Green Party , 116309 , 7 , 7 , 5.9 , 0
23rd 22:20,28 , TOP , The Opportunities Party (TOP) , 43684 , 0 , 0 , 2.2 , 0
23rd 22:20,10 , MAOR , Māori Party , 21206 , 0 , 0 , 1.1 , 0
23rd 22:20,1 , ACT , ACT New Zealand , 10069 , 0 , 1 , 0.5 , 1
23rd 22:20,3 , ALCP , Aotearoa Legalise Cannabis Party , 5224 , 0 , 0 , 0.3 , 0
23rd 22:20,12 , CNSP , Conservative , 4829 , 0 , 0 , 0.2 , 0
23rd 22:20,11 , MANA , MANA , 2323 , 0 , 0 , 0.1 , 0
23rd 22:20,18 , BAN , Ban1080 , 2234 , 0 , 0 , 0.1 , 0
23rd 22:20,29 , NZPP , New Zealand People's Party , 1482 , 0 , 0 , 0.1 , 0
23rd 22:20,9 , UFNZ , United Future , 1335 , 0 , 0 , 0.1 , 0
23rd 22:20,27 , NZOP , NZ Outdoors Party , 1207 , 0 , 0 , 0.1 , 0
23rd 22:20,8 , NZDSC , Democrats for Social Credit , 666 , 0 , 0 , 0.0 , 0
23rd 22:20,14 , IP , Internet Party , 443 , 0 , 0 , 0.0 , 0
23rd 22:21,6 , NAT , National Party , 920798 , 17 , 58 , 46.3 , 41
23rd 22:21,5 , LAB , Labour Party , 710104 , 16 , 45 , 35.7 , 29
23rd 22:21,7 , NZF , New Zealand First Party , 148414 , 9 , 9 , 7.5 , 0
23rd 22:21,4 , GP , Green Party , 116674 , 7 , 7 , 5.9 , 0
23rd 22:21,28 , TOP , The Opportunities Party (TOP) , 43769 , 0 , 0 , 2.2 , 0
23rd 22:21,10 , MAOR , Māori Party , 21227 , 0 , 0 , 1.1 , 0
23rd 22:21,1 , ACT , ACT New Zealand , 10089 , 0 , 1 , 0.5 , 1
23rd 22:21,3 , ALCP , Aotearoa Legalise Cannabis Party , 5235 , 0 , 0 , 0.3 , 0
23rd 22:21,12 , CNSP , Conservative , 4852 , 0 , 0 , 0.2 , 0
23rd 22:21,11 , MANA , MANA , 2323 , 0 , 0 , 0.1 , 0
23rd 22:21,18 , BAN , Ban1080 , 2241 , 0 , 0 , 0.1 , 0
23rd 22:21,29 , NZPP , New Zealand People's Party , 1491 , 0 , 0 , 0.1 , 0
23rd 22:21,9 , UFNZ , United Future , 1341 , 0 , 0 , 0.1 , 0
23rd 22:21,27 , NZOP , NZ Outdoors Party , 1209 , 0 , 0 , 0.1 , 0
23rd 22:21,8 , NZDSC , Democrats for Social Credit , 667 , 0 , 0 , 0.0 , 0
23rd 22:21,14 , IP , Internet Party , 445 , 0 , 0 , 0.0 , 0
23rd 22:22,6 , NAT , National Party , 921348 , 17 , 58 , 46.3 , 41
23rd 22:22,5 , LAB , Labour Party , 710498 , 16 , 45 , 35.7 , 29
23rd 22:22,7 , NZF , New Zealand First Party , 148504 , 9 , 9 , 7.5 , 0
23rd 22:22,4 , GP , Green Party , 116737 , 7 , 7 , 5.9 , 0
23rd 22:22,28 , TOP , The Opportunities Party (TOP) , 43801 , 0 , 0 , 2.2 , 0
23rd 22:22,10 , MAOR , Māori Party , 21236 , 0 , 0 , 1.1 , 0
23rd 22:22,1 , ACT , ACT New Zealand , 10093 , 0 , 1 , 0.5 , 1
23rd 22:22,3 , ALCP , Aotearoa Legalise Cannabis Party , 5237 , 0 , 0 , 0.3 , 0
23rd 22:22,12 , CNSP , Conservative , 4854 , 0 , 0 , 0.2 , 0
23rd 22:22,11 , MANA , MANA , 2323 , 0 , 0 , 0.1 , 0
23rd 22:22,18 , BAN , Ban1080 , 2241 , 0 , 0 , 0.1 , 0
23rd 22:22,29 , NZPP , New Zealand People's Party , 1493 , 0 , 0 , 0.1 , 0
23rd 22:22,9 , UFNZ , United Future , 1341 , 0 , 0 , 0.1 , 0
23rd 22:22,27 , NZOP , NZ Outdoors Party , 1211 , 0 , 0 , 0.1 , 0
23rd 22:22,8 , NZDSC , Democrats for Social Credit , 667 , 0 , 0 , 0.0 , 0
23rd 22:22,14 , IP , Internet Party , 445 , 0 , 0 , 0.0 , 0
23rd 22:23,6 , NAT , National Party , 923358 , 17 , 58 , 46.2 , 41
23rd 22:23,5 , LAB , Labour Party , 713164 , 16 , 45 , 35.7 , 29
23rd 22:23,7 , NZF , New Zealand First Party , 148886 , 9 , 9 , 7.5 , 0
23rd 22:23,4 , GP , Green Party , 117116 , 7 , 7 , 5.9 , 0
23rd 22:23,28 , TOP , The Opportunities Party (TOP) , 43966 , 0 , 0 , 2.2 , 0
23rd 22:23,10 , MAOR , Māori Party , 21361 , 0 , 0 , 1.1 , 0
23rd 22:23,1 , ACT , ACT New Zealand , 10112 , 0 , 1 , 0.5 , 1
23rd 22:23,3 , ALCP , Aotearoa Legalise Cannabis Party , 5255 , 0 , 0 , 0.3 , 0
23rd 22:23,12 , CNSP , Conservative , 4868 , 0 , 0 , 0.2 , 0
23rd 22:23,11 , MANA , MANA , 2336 , 0 , 0 , 0.1 , 0
23rd 22:23,18 , BAN , Ban1080 , 2245 , 0 , 0 , 0.1 , 0
23rd 22:23,29 , NZPP , New Zealand People's Party , 1494 , 0 , 0 , 0.1 , 0
23rd 22:23,9 , UFNZ , United Future , 1349 , 0 , 0 , 0.1 , 0
23rd 22:23,27 , NZOP , NZ Outdoors Party , 1217 , 0 , 0 , 0.1 , 0
23rd 22:23,8 , NZDSC , Democrats for Social Credit , 669 , 0 , 0 , 0.0 , 0
23rd 22:23,14 , IP , Internet Party , 445 , 0 , 0 , 0.0 , 0
23rd 22:24,6 , NAT , National Party , 925313 , 17 , 58 , 46.2 , 41
23rd 22:24,5 , LAB , Labour Party , 714724 , 16 , 45 , 35.7 , 29
23rd 22:24,7 , NZF , New Zealand First Party , 149241 , 9 , 9 , 7.5 , 0
23rd 22:24,4 , GP , Green Party , 117453 , 7 , 7 , 5.9 , 0
23rd 22:24,28 , TOP , The Opportunities Party (TOP) , 44114 , 0 , 0 , 2.2 , 0
23rd 22:24,10 , MAOR , Māori Party , 21415 , 0 , 0 , 1.1 , 0
23rd 22:24,1 , ACT , ACT New Zealand , 10131 , 0 , 1 , 0.5 , 1
23rd 22:24,3 , ALCP , Aotearoa Legalise Cannabis Party , 5282 , 0 , 0 , 0.3 , 0
23rd 22:24,12 , CNSP , Conservative , 4880 , 0 , 0 , 0.2 , 0
